N_nodes,lambda,h,T_max,total_healthy,total_contagious,total_ill,total_dead,total_recovered
3000,0.1,0.47000000000000003,4,36,2964,2964,554,2410
3000,0.11,0.47000000000000003,4,58,2942,2942,582,2360
3000,0.12,0.47000000000000003,4,2999,1,1,1,0
3000,0.13,0.47000000000000003,4,106,2894,2894,649,2245
3000,0.14,0.47000000000000003,4,101,2899,2899,598,2301
3000,0.15,0.47000000000000003,4,83,2917,2917,683,2234
3000,0.16,0.47000000000000003,4,2999,1,1,1,0
3000,0.17,0.47000000000000003,4,243,2757,2757,702,2055
3000,0.18,0.47000000000000003,4,242,2758,2758,740,2018
3000,0.19,0.47000000000000003,4,200,2800,2800,736,2064
3000,0.2,0.47000000000000003,4,2999,1,1,1,0
3000,0.21,0.47000000000000003,4,129,2871,2871,798,2073
3000,0.22,0.47000000000000003,4,2995,5,5,0,5
3000,0.23,0.47000000000000003,4,2998,2,2,2,0
3000,0.24,0.47000000000000003,4,563,2437,2437,742,1695
3000,0.25,0.47000000000000003,4,550,2450,2450,761,1689
3000,0.26,0.47000000000000003,4,465,2535,2535,776,1759
3000,0.27,0.47000000000000003,4,452,2548,2548,841,1707
3000,0.28,0.47000000000000003,4,403,2597,2597,846,1751
3000,0.29,0.47000000000000003,4,378,2622,2622,860,1762
3000,0.3,0.47000000000000003,4,2999,1,1,0,1
3000,0.31,0.47000000000000003,4,308,2692,2692,940,1752
3000,0.32,0.47000000000000003,4,2945,55,55,20,35
3000,0.33,0.47000000000000003,4,2997,3,3,0,3
3000,0.34,0.47000000000000003,4,2999,1,1,1,0
3000,0.35,0.47000000000000003,4,2990,10,10,5,5
3000,0.36,0.47000000000000003,4,2998,2,2,1,1
3000,0.37,0.47000000000000003,4,2999,1,1,0,1
3000,0.38,0.47000000000000003,4,2995,5,5,2,3
3000,0.39,0.47000000000000003,4,2998,2,2,1,1
3000,0.4,0.47000000000000003,4,2999,1,1,0,1
3000,0.41,0.47000000000000003,4,2987,13,13,3,10
3000,0.42,0.47000000000000003,4,2997,3,3,1,2
3000,0.43,0.47000000000000003,4,2997,3,3,0,3
3000,0.44,0.47000000000000003,4,2999,1,1,1,0
3000,0.45,0.47000000000000003,4,1473,1527,1527,619,908
3000,0.46,0.47000000000000003,4,2996,4,4,2,2
3000,0.47,0.47000000000000003,4,2993,7,7,3,4
3000,0.48,0.47000000000000003,4,2998,2,2,0,2
3000,0.49,0.47000000000000003,4,1168,1832,1832,736,1096
3000,0.5,0.47000000000000003,4,2998,2,2,1,1
3000,0.51,0.47000000000000003,4,2999,1,1,0,1
3000,0.52,0.47000000000000003,4,1190,1810,1810,755,1055
3000,0.53,0.47000000000000003,4,2999,1,1,0,1
3000,0.54,0.47000000000000003,4,2997,3,3,1,2
3000,0.55,0.47000000000000003,4,2999,1,1,1,0
3000,0.56,0.47000000000000003,4,941,2059,2059,869,1190
3000,0.57,0.47000000000000003,4,2999,1,1,0,1
3000,0.58,0.47000000000000003,4,2997,3,3,1,2
3000,0.59,0.47000000000000003,4,2999,1,1,1,0
3000,0.6,0.47000000000000003,4,846,2154,2154,938,1216
3000,0.61,0.47000000000000003,4,929,2071,2071,865,1206
3000,0.62,0.47000000000000003,4,873,2127,2127,898,1229
3000,0.63,0.47000000000000003,4,784,2216,2216,914,1302
3000,0.64,0.47000000000000003,4,2999,1,1,0,1
3000,0.65,0.47000000000000003,4,2999,1,1,0,1
3000,0.66,0.47000000000000003,4,2999,1,1,0,1
3000,0.67,0.47000000000000003,4,2999,1,1,1,0
3000,0.68,0.47000000000000003,4,2999,1,1,1,0
3000,0.69,0.47000000000000003,4,2999,1,1,1,0
3000,0.7,0.47000000000000003,4,2999,1,1,0,1
3000,0.71,0.47000000000000003,4,2999,1,1,0,1
3000,0.72,0.47000000000000003,4,2999,1,1,1,0
3000,0.73,0.47000000000000003,4,2999,1,1,0,1
3000,0.74,0.47000000000000003,4,2999,1,1,0,1
3000,0.75,0.47000000000000003,4,2999,1,1,1,0
3000,0.76,0.47000000000000003,4,2999,1,1,0,1
3000,0.77,0.47000000000000003,4,2999,1,1,1,0
3000,0.78,0.47000000000000003,4,2999,1,1,1,0
3000,0.79,0.47000000000000003,4,2999,1,1,0,1
3000,0.8,0.47000000000000003,4,2999,1,1,0,1
3000,0.81,0.47000000000000003,4,2999,1,1,0,1
3000,0.82,0.47000000000000003,4,2999,1,1,0,1
3000,0.83,0.47000000000000003,4,2999,1,1,1,0
3000,0.84,0.47000000000000003,4,2999,1,1,1,0
3000,0.85,0.47000000000000003,4,2999,1,1,0,1
3000,0.86,0.47000000000000003,4,2999,1,1,1,0
3000,0.87,0.47000000000000003,4,2999,1,1,1,0
3000,0.88,0.47000000000000003,4,2999,1,1,0,1
3000,0.89,0.47000000000000003,4,2999,1,1,0,1
3000,0.9,0.47000000000000003,4,2999,1,1,0,1
